name,id,qid,display_name,full_names,duplicate_of
G van der Zanden,A1315,Q112965126,Gijs van der Zanden,,
Blaise Zaugg,A1316,,Blaise Zaugg,,
Theo Zeegers; Th Zeegers,A1317,Q111822623,Theo Zeegers,Theodorus Zeegers; Theodorus Wilhelmus Petrus Zeegers,
Frederick Everard Zeuner,A1318,Q1248946,Frederick Everard Zeuner,,
Anatol Nikolajevitsch Zhelochovtsev,A1319,Q55074349,Anatol Nikolajevitsch Zhelochovtsev,,
Manfred Zimmermann,A1320,,Manfred Zimmermann,,
R Bert Zoetemeyer,A1321,,R Bert Zoetemeyer,Bert Zoetemeyer,
Pascale Zumstein,A1322,Q47525528,Pascale Zumstein,,
Casper Zuyderduyn,A1323,,Casper Zuyderduyn,,
Kees Zwakhals,A1324,Q25441632,Kees Zwakhals,,
Peter Zwick,A1325,Q22110901,Peter Zwick,,
Milan Zùbrik,A1326,Q68025069,Milan Zùbrik,,
www.microlepidoptera.nl,A1327,,www.microlepidoptera.nl,,
Fernando Álvarez,A1328,Q22106835,Fernando Álvarez,,
Óscar García-Álvarez,A1329,Q21338192,Óscar García-Álvarez,,
Kjetil Åkra,A1330,Q11981008,Kjetil Åkra,,
Sandra Åström,A1331,,Sandra Åström,,
Ika Österblad,A1332,,Ika Österblad,,
Frode Ødegaard,A1333,Q22109277,Frode Ødegaard,,
Adam Ślipiński,A1334,Q21061406,Adam Ślipiński,Stanisław Adam Ślipiński,
František Šifner,A1335,Q95178014,František Šifner,,
Vid Švara,A1336,Q21391041,Vid Švara,,
M Żabka; Marek Żabka,A1337,Q3846783,Marek Żabka,Marek Michał Żabka,
Dagmara Żyła,A1338,Q21393992,Dagmara Żyła,,
Robert Żóralski,A1339,,Robert Żóralski,,
Єлизавета Миронівна Ємчук,A1340,Q109338466,Elizaveta Myronivna Yemchuk,Єлизавета Миронівна Ємчук,
Валерій Михайлович Єрмоленко,A1341,Q4176606,Valery Mykhailovych Yermolenko,Валерій Михайлович Єрмоленко; Валерий Михайлович Ермоленко,
